shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
1000,36.5465873,139.9792597,164
1000,36.5466359,139.9793679,165
1000,36.5466881,139.9795951,166
1000,36.5467434,139.9798597,167
1000,36.5474929,139.983593,168
1000,36.5475129,139.9836979,169
1000,36.5475375,139.9837939,170
1000,36.5475889,139.9839838,171
1000,36.5476847,139.9844393,172
1000,36.547716,139.9845941,173
1000,36.5477429,139.984679,174
1000,36.5478039,139.984786,175
1000,36.5478744,139.9848601,176
1000,36.547948,139.9848928,177
1000,36.5480362,139.984897,178
1000,36.548124,139.9848773,179
1000,36.5504204,139.9841558,180
1000,36.5533642,139.9832966,181
1000,36.5535395,139.9832389,182
1000,36.5535395,139.9832389,183
1000,36.5537146,139.9831908,184
1000,36.5540171,139.9831031,185
1000,36.5541602,139.9830556,186
1000,36.5542463,139.9830246,187
1000,36.5542935,139.9830041,188
1000,36.5542935,139.9830041,189
1000,36.5543262,139.9829898,190
1000,36.55476,139.9827972,191
1000,36.5551899,139.9826579,192
1000,36.5552636,139.9826287,193
1000,36.5553736,139.9825761,194
1000,36.5554531,139.9825429,195
1000,36.5558747,139.982411,196
1000,36.5559742,139.9823883,197
1000,36.5560727,139.9823702,198
1000,36.5561758,139.9823534,199
1000,36.5563141,139.9823172,200
1000,36.5565102,139.9822534,201
1000,36.5566845,139.9822128,202
1000,36.5568612,139.9821703,203
1000,36.5573012,139.9821313,204
1000,36.5577819,139.9820752,205
1000,36.5581462,139.9820518,206
1000,36.5586532,139.9820612,207
1000,36.5590062,139.9821313,208
1000,36.5606624,139.9823884,209
1000,36.5628369,139.9827531,210
1000,36.5628369,139.9827531,211
1000,36.5639956,139.983069,212
1000,36.5639956,139.983069,213
1000,36.5640499,139.9830804,214
1000,36.564383,139.9831551,215
1000,36.5651453,139.9832899,216
1000,36.5651453,139.9832899,217
1000,36.5659814,139.9834419,218
1000,36.5659814,139.9834419,219
1000,36.5663312,139.983517,220
1000,36.5664309,139.983537,221
1000,36.5665493,139.9835956,222
1000,36.5666669,139.9836736,223
1000,36.5667487,139.9837509,224
1000,36.5668119,139.9838412,225
1000,36.5668579,139.9839321,226
1000,36.5668904,139.9840237,227
1000,36.5669275,139.9841666,228
1000,36.5669622,139.9843664,229
1000,36.566978,139.9845263,230
1000,36.5669937,139.9849062,231
1000,36.5669937,139.9849062,232
1000,36.567013,139.9851772,233
1000,36.5670268,139.9853491,234
1000,36.5670812,139.9857205,235
1000,36.5671649,139.986153,236
1000,36.5672518,139.9864502,237
1000,36.5674966,139.9873826,238
1000,36.5675487,139.9875883,239
1000,36.5675854,139.9877571,240
1000,36.5676174,139.9879285,241
